City (Old Name)	,City (New Name)
Vancleave,Vancleave MS
Centerville,Centerville OH
Louisville,Louisville KY
Upper Freehold,Upper Freehold NJ
Edwardsville,Edwardsville IL
Moorhead,Moorhead MN
Nacogdoches,Nacogdoches TX
Bossier City,Bossier City LA
Turlock,Turlock CA
Mission,Mission TX
Portsmouth,Portsmouth NH
Schofield Barracks,Schofield Barracks HI
Lake Zurich,Lake Zurich IL
New Lenox,New Lenox IL
Farmers Branch,Farmers Branch TX
Kenner,Kenner LA
Kingston,Kingston NY
Woodbridge,Woodbridge NJ
Altadena,Altadena CA
Lynnwood,Lynnwood WA
Apple Valley,Apple Valley MN
Avalon,Avalon CA
Islandia,Islandia NY
Maplewood,Maplewood MN
Shepherdsville,Shepherdsville KY
Mooresville,Mooresville NC
Corinth,Corinth TX
Cross Roads,Cross Roads TX
Manorville,Manorville NY
Glendora,Glendora CA
Piney,Piney AR
Chamblee,Chamblee GA
Crestview,Crestview FL
Bellflower,Bellflower CA
Lakewood,Lakewood CA
Miami Springs,Miami Springs FL
West Seneca,West Seneca NY
Sandston,Sandston VA
Westlake,Westlake OH
Aspen Hill,Aspen Hill MD
San Marcos,San Marcos TX
Chantilly,Chantilly VA
Healdsburg,Healdsburg CA
Morganton,Morganton NC
Attleboro,Attleboro MA
Ridgewood,Ridgewood NJ
University Park,University Park TX
Panthersville,Panthersville GA
Maquoketa,Maquoketa IA
College Park,College Park MD
East Islip,East Islip NY
West Samoset,West Samoset FL
Azalea Park,Azalea Park FL
Saint Peters,Saint Peters MO
Orlovista,Orlovista FL
Hampton,Hampton VA
Saint Augustine Shores,Saint Augustine Shores FL
Kathleen,Kathleen FL
Wrightsville Beach,Wrightsville Beach NC
New Port Richey,New Port Richey FL
Lutz,Lutz FL
Ocoee,Ocoee FL
Pearl City,Pearl City HI
Loxahatchee Groves,Loxahatchee Groves FL
Mannford,Mannford OK
Egypt Lake-Leto,Egypt Lake-Leto FL
Makakilo,Makakilo HI
Holly Hill,Holly Hill FL
Leeds,Leeds AL
Lawndale,Lawndale CA
Americus,Americus GA
Lauderhill,Lauderhill FL
LaFayette,LaFayette GA
Ensley,Ensley FL
Safety Harbor,Safety Harbor FL
Suwanee,Suwanee GA
Waipio Acres,Waipio Acres HI
East Lake-Orient Park,East Lake-Orient Park FL
Thonotosassa,Thonotosassa FL
Dahlonega,Dahlonega GA
Drexel,Drexel NC
Chelsea,Chelsea MA
Morrisville,Morrisville NC
Morrow,Morrow GA
Homewood,Homewood AL
Castle Hills,Castle Hills TX
Hannibal,Hannibal MO
Mount Vernon,Mount Vernon NY
Ojus,Ojus FL
Boynton Beach,Boynton Beach FL
Catalina Foothills,Catalina Foothills AZ
Bithlo,Bithlo FL
Blythewood,Blythewood SC
Fairland,Fairland MD
Kinston,Kinston NC
Florence,Florence SC
Westwego,Westwego LA
Jan Phyl Village,Jan Phyl Village FL
Union City,Union City GA
Goldenrod,Goldenrod FL
Carnuel,Carnuel NM
Lake Hart,Lake Hart FL
West Columbia,West Columbia SC
Tucker,Tucker GA
Loma Linda,Loma Linda CA
Oakland Park,Oakland Park FL
Delhi,Delhi CA
Kihei,Kihei HI
Marietta,Marietta GA
Golden Gate,Golden Gate FL
Gantt,Gantt SC
Dacula,Dacula GA
Mountain House,Mountain House CA
Gahanna,Gahanna OH
Cut and Shoot,Cut and Shoot TX
Vinings,Vinings GA
Fort Hood,Fort Hood TX
North Lauderdale,North Lauderdale FL
Honolulu,Honolulu HI
Winder,Winder GA
Doctor Phillips,Doctor Phillips FL
Kissimmee,Kissimmee FL
New Roads,New Roads LA
Doraville,Doraville GA
Deer Park,Deer Park TX
Florin,Florin CA
Oviedo,Oviedo FL
Hunters Creek,Hunters Creek FL
Rocky Mount,Rocky Mount NC
Richton Park,Richton Park IL
Trent Woods,Trent Woods NC
Poplarville,Poplarville MS
Northport,Northport AL
Vinton,Vinton VA
Gray Court,Gray Court SC
Santa Fe,Santa Fe NM
North Key Largo,North Key Largo FL
Islamorada,Islamorada FL
Sanger,Sanger TX
Marathon,Marathon FL
Pauline,Pauline SC
New Miami,New Miami OH
Highland,Highland IN
North Arlington,North Arlington NJ
Key West,Key West FL
Chippewa Falls,Chippewa Falls WI
Barnegat Township,Barnegat Township NJ
Eatonton,Eatonton GA
Manhasset,Manhasset NY
Cinnaminson,Cinnaminson NJ
Plain City,Plain City OH
Orangetree,Orangetree FL
Lely,Lely FL
Kirkwood,Kirkwood MO
Vernon Township,Vernon Township NJ
Walpole,Walpole MA
Minden,Minden LA
West Monroe,West Monroe LA
Lely Resort,Lely Resort FL
Vero Beach South,Vero Beach South FL
Bixby,Bixby OK
Willis,Willis TX
Rotonda West,Rotonda West FL
Bastrop,Bastrop TX
Upton,Upton MA
Winter Beach,Winter Beach FL
Palmetto,Palmetto FL
Doylestown,Doylestown PA
Marco Island,Marco Island FL
Vilano Beach,Vilano Beach FL
Cypress Lake,Cypress Lake FL
Bohemia,Bohemia NY
Pembroke,Pembroke MA
Vineyards,Vineyards FL
Livingston,Livingston NJ
Bedford,Bedford TX
Garden City,Garden City NY
Palm Valley,Palm Valley FL
Middleborough,Middleborough MA
Indian River Shores,Indian River Shores FL
Laramie,Laramie WY
Wayne,Wayne NJ
Collingswood,Collingswood NJ
Maumelle,Maumelle AR
Apollo Beach,Apollo Beach FL
Marshfield,Marshfield MA
Peach Lake,Peach Lake NY
Millbury,Millbury MA
New Iberia,New Iberia LA
Westborough,Westborough MA
Holliston,Holliston MA
Germantown,Germantown MD
Fernandina Beach,Fernandina Beach FL
Bellingham,Bellingham MA
Estero,Estero FL
Pickerington,Pickerington OH
Acton,Acton MA
Gulf Gate Estates,Gulf Gate Estates FL
Fairhaven,Fairhaven MA
Uxbridge,Uxbridge MA
Midland,Midland TX
Saginaw,Saginaw MI
Point Pleasant,Point Pleasant NJ
Westford,Westford MA
Hopkinton,Hopkinton MA
Erie,Erie PA
League City,League City TX
Hanover,Hanover MA
Marlboro Township,Marlboro Township NJ
Galveston,Galveston TX
Southborough,Southborough MA
Aberdeen,Aberdeen MD
Mount Pleasant,Mount Pleasant SC
Lake Charles,Lake Charles LA
Cedar Rapids,Cedar Rapids IA
Parole,Parole MD
Shrewsbury,Shrewsbury MA
Arnold,Arnold MD
Lewes,Lewes DE
Coppell,Coppell TX
Brunswick,Brunswick OH
Bellaire,Bellaire TX
Villas,Villas NJ
Pine Ridge,Pine Ridge FL
Billerica,Billerica MA
Moss Bluff,Moss Bluff LA
Alpharetta,Alpharetta GA
New Rochelle,New Rochelle NY
Westerly,Westerly RI
Palmetto Estates,Palmetto Estates FL
Plymouth,Plymouth MA
Panama City Beach,Panama City Beach FL
Holland,Holland MI
Fort Collins,Fort Collins CO
Montville,Montville NJ
Saginaw Charter Township,Saginaw Charter Township MI
East Cobb,East Cobb GA
North Attleborough,North Attleborough MA
Kent Acres,Kent Acres DE
Sandy Springs,Sandy Springs GA
Moses Lake,Moses Lake WA
Bay City,Bay City MI
Key Biscayne,Key Biscayne FL
Newburyport,Newburyport MA
Tewksbury,Tewksbury MA
Crownsville,Crownsville MD
Cheney,Cheney WA
Richmond,Richmond VA
Watkinsville,Watkinsville GA
Metamora,Metamora IL
Newtown Grant,Newtown Grant PA
Indialantic,Indialantic FL
Owasso,Owasso OK
Memphis,Memphis TN
Washingtonville,Washingtonville NY
East Oakdale,East Oakdale CA
Galena,Galena IL
South Harrison Township,South Harrison Township MI
West Point,West Point MS
